Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	-41	-5648	0
2	0.002	-41	-5622	0
3	0.003	-41	-5596	0
4	0.004	-41	-5568	0
5	0.005	-41	-5539	0
6	0.006	-41	-5509	0
7	0.007	-41	-5478	0
8	0.009	-41	-5446	0
9	0.01	-41	-5412	0
10	0.011	-41	-5378	0
11	0.012	-41	-5343	0
12	0.013	-41	-5307	0
13	0.014	-41	-5269	0
14	0.015	-41	-5231	0
15	0.016	-41	-5191	0
16	0.018	-41	-5151	0
17	0.019	-41	-5110	0
18	0.02	-41	-5068	0
19	0.021	-41	-5025	0
20	0.022	-41	-4980	0
21	0.023	-41	-4935	0
22	0.024	-41	-4890	0
23	0.025	-41	-4843	0
24	0.027	-41	-4797	0
25	0.028	-41	-4749	0
26	0.029	-41	-4700	0
27	0.03	-41	-4650	0
28	0.031	-41	-4600	0
29	0.032	-40	-4548	0
30	0.033	-40	-4497	0
31	0.034	-40	-4445	0
32	0.036	-40	-4392	0
33	0.037	-40	-4338	0
34	0.038	-40	-4283	0
35	0.039	-40	-4228	0
36	0.04	-39	-4172	0
37	0.041	-39	-4115	0
38	0.042	-39	-4059	0
39	0.043	-39	-4001	0
40	0.045	-39	-3943	0
41	0.046	-39	-3883	0
42	0.047	-39	-3823	0
43	0.048	-38	-3764	0
44	0.049	-38	-3703	0
45	0.05	-38	-3641	0
46	0.051	-38	-3580	0
47	0.052	-37	-3518	0
48	0.054	-37	-3455	0
49	0.055	-37	-3392	0
50	0.056	-36	-3329	0
51	0.057	-36	-3265	0
52	0.058	-35	-3201	0
53	0.059	-35	-3138	0
54	0.06	-35	-3074	0
55	0.062	-34	-3010	0
56	0.063	-34	-2945	0
57	0.064	-33	-2880	0
58	0.065	-33	-2815	0
59	0.066	-32	-2750	0
60	0.067	-32	-2685	0
61	0.068	-31	-2619	0
62	0.069	-31	-2553	0
63	0.071	-30	-2488	0
64	0.072	-30	-2422	0
65	0.073	-29	-2356	0
66	0.074	-29	-2290	0
67	0.075	-28	-2223	0
68	0.076	-27	-2156	0
69	0.077	-27	-2091	0
70	0.078	-26	-2025	0
71	0.08	-26	-1957	0
72	0.081	-25	-1891	0
73	0.082	-25	-1827	0
74	0.083	-24	-1760	0
75	0.084	-23	-1690	0
76	0.085	-23	-1623	0
77	0.086	-22	-1560	0
78	0.087	-22	-1495	0
79	0.089	-21	-1431	0
80	0.09	-21	-1366	0
81	0.091	-20	-1302	0
82	0.092	-19	-1238	0
83	0.093	-19	-1175	0
84	0.094	-18	-1113	0
85	0.095	-17	-1049	0
86	0.096	-17	-985	0
87	0.098	-16	-925	0
88	0.099	-15	-864	0
89	0.1	-15	-801	0
90	0.101	-14	-740	0
91	0.102	-13	-680	0
92	0.103	-13	-621	0
93	0.104	-12	-561	0
94	0.105	-11	-500	0
95	0.107	-11	-441	0
96	0.108	-10	-384	0
97	0.109	-10	-327	0
98	0.11	-9	-270	0
99	0.111	-8	-212	0
100	0.112	-8	-157	0
101	0.113	-7	-102	0
102	0.114	-7	-48	0
103	0.116	-6	7	0
104	0.117	-6	61	0
105	0.118	-5	115	0
106	0.119	-4	165	0
107	0.12	-4	216	0
108	0.121	-3	267	0
109	0.122	-3	316	0
110	0.124	-2	365	0
111	0.125	-2	412	0
112	0.126	-2	458	0
113	0.127	-1	504	0
114	0.128	0	549	0
115	0.129	0	593	0
116	0.13	0	637	0
117	0.131	1	681	0
118	0.133	1	723	0
119	0.134	1	762	0
120	0.135	2	802	0
121	0.136	2	841	0
122	0.137	3	879	0
123	0.138	3	916	0
124	0.139	3	952	0
125	0.14	4	987	0
126	0.142	4	1020	0
127	0.143	5	1053	0
128	0.144	5	1085	0
129	0.145	5	1116	0
130	0.146	6	1145	0
131	0.147	6	1175	0
132	0.148	6	1203	0
133	0.149	6	1230	0
134	0.151	7	1256	0
135	0.152	7	1281	0
136	0.153	8	1304	0
137	0.154	8	1327	0
138	0.155	8	1348	0
139	0.156	9	1368	0
140	0.157	9	1387	0
141	0.158	9	1405	0
142	0.16	9	1422	0
143	0.161	10	1438	0
144	0.162	10	1453	0
145	0.163	10	1467	0
146	0.164	10	1480	0
147	0.165	11	1492	0
148	0.166	11	1502	0
149	0.167	11	1511	0
150	0.169	11	1519	0
151	0.17	12	1526	0
152	0.171	12	1532	0
153	0.172	12	1537	0
154	0.173	13	1540	0
155	0.174	13	1543	0
156	0.175	13	1544	0
157	0.176	13	1544	0
158	0.178	13	1544	0
159	0.179	13	1543	0
160	0.18	13	1540	0
161	0.181	14	1536	0
162	0.182	14	1531	0
163	0.183	14	1525	0
164	0.184	14	1517	0
165	0.185	14	1509	0
166	0.187	14	1499	0
167	0.188	14	1489	0
168	0.189	14	1477	0
169	0.19	14	1464	0
170	0.191	14	1451	0
171	0.192	15	1436	0
172	0.193	15	1420	0
173	0.195	15	1403	0
174	0.196	15	1385	0
175	0.197	15	1366	0
176	0.198	15	1346	0
177	0.199	15	1325	0
178	0.2	15	1303	0
179	0.201	15	1280	0
180	0.202	15	1257	0
181	0.204	15	1232	0
182	0.205	15	1206	0
183	0.206	15	1179	0
184	0.207	15	1151	0
185	0.208	15	1122	0
186	0.209	15	1093	0
187	0.21	15	1062	0
188	0.211	15	1031	0
189	0.213	15	998	0
190	0.214	15	965	0
191	0.215	15	931	0
192	0.216	15	897	0
193	0.217	15	860	0
194	0.218	15	823	0
195	0.219	15	786	0
196	0.22	15	748	0
197	0.222	15	708	0
198	0.223	15	668	0
199	0.224	15	628	0
200	0.225	15	587	0
201	0.226	14	545	0
202	0.227	14	502	0
203	0.228	14	458	0
204	0.229	14	413	0
205	0.231	14	368	0
206	0.232	13	323	0
207	0.233	13	276	0
208	0.234	13	229	0
209	0.235	13	180	0
210	0.236	12	132	0
211	0.237	12	82	0
212	0.238	12	32	0
213	0.24	12	-18	0
214	0.241	11	-68	0
215	0.242	11	-120	0
216	0.243	11	-172	0
217	0.244	11	-225	0
218	0.245	11	-278	0
219	0.246	11	-331	0
220	0.247	10	-386	0
221	0.249	10	-441	0
222	0.25	10	-495	0
223	0.251	10	-549	0
224	0.252	9	-605	0
225	0.253	9	-661	0
226	0.254	9	-717	0
227	0.255	9	-773	0
228	0.256	8	-828	0
229	0.258	8	-885	0
230	0.259	8	-943	0
231	0.26	8	-1000	0
232	0.261	8	-1057	0
233	0.262	7	-1114	0
234	0.263	7	-1172	0
235	0.264	7	-1230	0
236	0.266	7	-1288	0
237	0.267	6	-1346	0
238	0.268	6	-1404	0
239	0.269	6	-1463	0
240	0.27	5	-1521	0
241	0.271	5	-1580	0
242	0.272	4	-1639	0
243	0.273	4	-1699	0
244	0.275	4	-1758	0
245	0.276	3	-1817	0
246	0.277	3	-1878	0
247	0.278	2	-1939	0
248	0.279	2	-1996	0
249	0.28	2	-2055	0
250	0.281	1	-2113	0
251	0.282	0	-2172	0
252	0.284	0	-2230	0
253	0.285	0	-2288	0
254	0.286	-1	-2346	0
255	0.287	-1	-2403	0
256	0.288	-2	-2462	0
257	0.289	-2	-2518	0
258	0.29	-3	-2575	0
259	0.291	-4	-2633	0
260	0.293	-4	-2688	0
261	0.294	-5	-2744	0
262	0.295	-5	-2800	0
263	0.296	-5	-2856	0
264	0.297	-6	-2910	0
265	0.298	-6	-2964	0
266	0.299	-7	-3020	0
267	0.3	-8	-3073	0
268	0.302	-8	-3126	0
269	0.303	-8	-3179	0
270	0.304	-9	-3232	0
271	0.305	-9	-3284	0
272	0.306	-10	-3336	0
273	0.307	-11	-3388	0
274	0.308	-11	-3439	0
275	0.309	-12	-3489	0
276	0.311	-12	-3539	0
277	0.312	-13	-3588	0
278	0.313	-13	-3637	0
279	0.314	-14	-3685	0
280	0.315	-14	-3733	0
281	0.316	-15	-3779	0
282	0.317	-15	-3825	0
283	0.318	-16	-3871	0
284	0.32	-16	-3916	0
285	0.321	-17	-3960	0
286	0.322	-17	-4003	0
287	0.323	-17	-4046	0
288	0.324	-18	-4088	0
289	0.325	-18	-4129	0
290	0.326	-19	-4171	0
291	0.328	-19	-4210	0
292	0.329	-20	-4248	0
293	0.33	-20	-4287	0
294	0.331	-20	-4324	0
295	0.332	-21	-4361	0
296	0.333	-21	-4397	0
297	0.334	-21	-4433	0
298	0.335	-21	-4466	0
299	0.337	-22	-4499	0
300	0.338	-22	-4531	0
301	0.339	-22	-4563	0
302	0.34	-22	-4594	0
303	0.341	-23	-4624	0
304	0.342	-23	-4653	0
305	0.343	-23	-4681	0
306	0.344	-23	-4708	0
307	0.346	-24	-4735	0
308	0.347	-24	-4760	0
309	0.348	-24	-4785	0
310	0.349	-24	-4809	0
311	0.35	-24	-4832	0
312	0.351	-24	-4854	0
313	0.352	-25	-4874	0
314	0.353	-25	-4894	0
315	0.355	-25	-4913	0
316	0.356	-25	-4931	0
317	0.357	-25	-4948	0
318	0.358	-25	-4964	0
319	0.359	-25	-4979	0
320	0.36	-25	-4993	0
321	0.361	-26	-5006	0
322	0.362	-26	-5019	0
323	0.364	-26	-5030	0
324	0.365	-26	-5040	0
325	0.366	-26	-5049	0
326	0.367	-26	-5058	0
327	0.368	-26	-5065	0
328	0.369	-26	-5071	0
329	0.37	-27	-5076	0
330	0.371	-27	-5080	0
331	0.373	-27	-5083	0
332	0.374	-27	-5086	0
333	0.375	-27	-5087	0
334	0.376	-27	-5087	0
335	0.377	-27	-5087	0
336	0.378	-28	-5086	0
337	0.379	-28	-5083	0
338	0.38	-28	-5080	0
339	0.382	-28	-5075	0
340	0.383	-28	-5069	0
341	0.384	-28	-5063	0
342	0.385	-28	-5055	0
343	0.386	-28	-5047	0
344	0.387	-29	-5037	0
345	0.388	-29	-5027	0
346	0.39	-29	-5015	0
347	0.391	-29	-5003	0
348	0.392	-29	-4990	0
349	0.393	-29	-4976	0
350	0.394	-29	-4961	0
351	0.395	-29	-4945	0
352	0.396	-29	-4929	0
353	0.397	-29	-4911	0
354	0.399	-29	-4893	0
355	0.4	-29	-4874	0
356	0.401	-29	-4854	0
357	0.402	-29	-4833	0
358	0.403	-30	-4811	0
359	0.404	-30	-4788	0
360	0.405	-30	-4765	0
361	0.406	-30	-4741	0
362	0.408	-30	-4716	0
363	0.409	-30	-4690	0
364	0.41	-30	-4663	0
365	0.411	-30	-4636	0
366	0.412	-30	-4608	0
367	0.413	-30	-4579	0
368	0.414	-30	-4549	0
369	0.415	-30	-4519	0
370	0.417	-30	-4488	0
371	0.418	-30	-4456	0
372	0.419	-30	-4423	0
373	0.42	-30	-4389	0
374	0.421	-30	-4356	0
375	0.422	-30	-4321	0
376	0.423	-30	-4285	0
377	0.424	-30	-4249	0
378	0.426	-30	-4212	0
379	0.427	-30	-4175	0
380	0.428	-30	-4137	0
381	0.429	-30	-4099	0
382	0.43	-30	-4059	0
383	0.431	-30	-4020	0
384	0.432	-29	-3979	0
385	0.433	-29	-3938	0
386	0.435	-29	-3896	0
387	0.436	-28	-3854	0
388	0.437	-28	-3812	0
389	0.438	-28	-3768	0
390	0.439	-27	-3724	0
391	0.44	-27	-3679	0
392	0.441	-27	-3635	0
393	0.442	-27	-3589	0
394	0.444	-26	-3543	0
395	0.445	-26	-3497	0
396	0.446	-26	-3450	0
397	0.447	-26	-3404	0
398	0.448	-25	-3356	0
399	0.449	-25	-3308	0
400	0.45	-25	-3259	0
401	0.452	-24	-3211	0
402	0.453	-24	-3163	0
403	0.454	-24	-3114	0
404	0.455	-24	-3065	0
405	0.456	-23	-3016	0
406	0.457	-23	-2966	0
407	0.458	-23	-2916	0
408	0.459	-23	-2866	0
409	0.461	-23	-2815	0
410	0.462	-22	-2766	0
411	0.463	-22	-2715	0
412	0.464	-22	-2664	0
413	0.465	-21	-2613	0
414	0.466	-21	-2562	0
415	0.467	-21	-2511	0
416	0.468	-20	-2459	0
417	0.47	-20	-2408	0
418	0.471	-20	-2357	0
419	0.472	-19	-2305	0
420	0.473	-19	-2252	0
421	0.474	-19	-2200	0
422	0.475	-19	-2148	0
423	0.476	-18	-2097	0
424	0.477	-18	-2045	0
425	0.479	-18	-1993	0
426	0.48	-17	-1940	0
427	0.481	-17	-1889	0
428	0.482	-16	-1838	0
429	0.483	-16	-1786	0
430	0.484	-16	-1732	0
431	0.485	-15	-1678	0
432	0.486	-15	-1628	0
433	0.488	-15	-1577	0
434	0.489	-14	-1527	0
435	0.49	-14	-1477	0
436	0.491	-14	-1428	0
437	0.492	-14	-1377	0
438	0.493	-13	-1327	0
439	0.494	-13	-1278	0
